title,link,summary,image_url,publication_time,category,url_source,scraped_at
Pertamina Raih Posisi Puncak Daftar Fortune Indonesia 100,https://www.liputan6.com/bisnis/read/6158584/pertamina-raih-posisi-puncak-daftar-fortune-indonesia-100,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 19:43,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Pengamat Soroti Industri Kayu yang Makin Megap-megap,https://www.liputan6.com/bisnis/read/6158545/pengamat-soroti-industri-kayu-yang-makin-megap-megap,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 19:00,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Regulasi Indikasi Geografis Jaga Reputasi Produk Perikanan,https://www.liputan6.com/bisnis/read/6158557/regulasi-indikasi-geografis-jaga-reputasi-produk-perikanan,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 18:30,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
"Ada Diskon Tiket Commuter Line Basoetta Rp 17.000, Catat Tanggalnya",https://www.liputan6.com/bisnis/read/6158551/ada-diskon-tiket-commuter-line-basoetta-rp-17000-catat-tanggalnya,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 18:07,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
BCA Gandeng Tulola Angkat Perajin Lokal Desa Taro Berkibar di Pasar Nasional,https://www.liputan6.com/bisnis/read/6158520/bca-gandeng-tulola-angkat-perajin-lokal-desa-taro-berkibar-di-pasar-nasional,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 17:12,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Menopang UMKM Lewat Hilirisasi Digital,https://www.liputan6.com/bisnis/read/6158519/menopang-umkm-lewat-hilirisasi-digital,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 17:11,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Generasi Melek Finansial: BRI Ajak Anak Muda Terapkan Pengelolaan Keuangan Cerdas,https://www.liputan6.com/bisnis/read/6158491/generasi-melek-finansial-bri-ajak-anak-muda-terapkan-pengelolaan-keuangan-cerdas,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 17:00,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
"BRI Dorong Literasi Finansial Anak Muda, Hadirkan Tips Kelola Uang Sejak Dini",https://www.liputan6.com/bisnis/read/6158486/bri-dorong-literasi-finansial-anak-muda-hadirkan-tips-kelola-uang-sejak-dini,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 16:05,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
"Jangan Hanya Mengeluh 'In This Economy', OCBC Beberkan Strategi 'Win This Economy'",https://www.liputan6.com/bisnis/read/6158340/jangan-hanya-mengeluh-in-this-economy-ocbc-beberkan-strategi-win-this-economy,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 15:59,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Kemendag Panggil Pengelola Gold’s Gym Usai Tutup Gerai Tiba-tiba,https://www.liputan6.com/bisnis/read/6158457/kemendag-panggil-pengelola-golds-gym-usai-tutup-gerai-tiba-tiba,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 15:29,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
